PatType,day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,0,Mon,0,00:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,1,01:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,2,02:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,3,03:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,4,04:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,5,05:00,40.000000,0.975000,0.000000,4.000000,1.025008,0.162068,1.050641,1.051290,0.954236,0.565601,0.000000,1.000000,2.000000,3.000000,3.610000
ART,0,Mon,6,06:00,40.000000,5.100000,0.000000,10.000000,2.035581,0.321854,4.143590,0.399134,-0.699259,1.750081,4.000000,5.000000,6.000000,8.000000,9.220000
ART,0,Mon,7,07:00,40.000000,3.200000,0.000000,7.000000,1.963774,0.310500,3.856410,0.613680,0.347276,-0.659365,2.000000,3.000000,4.250000,7.000000,7.000000
ART,0,Mon,8,08:00,40.000000,3.500000,0.000000,8.000000,1.961161,0.310087,3.846154,0.560332,0.236165,-0.106515,2.000000,4.000000,4.000000,7.000000,7.610000
ART,0,Mon,9,09:00,40.000000,3.225000,0.000000,7.000000,1.832576,0.289756,3.358333,0.568240,0.018140,-0.717142,2.000000,3.000000,4.250000,6.000000,6.610000
ART,0,Mon,10,10:00,40.000000,3.250000,0.000000,7.000000,1.705947,0.269734,2.910256,0.524907,-0.020387,-0.261340,2.000000,3.000000,4.000000,6.000000,6.610000
ART,0,Mon,11,11:00,40.000000,2.825000,0.000000,7.000000,1.599479,0.252900,2.558333,0.566187,0.340325,0.203523,2.000000,3.000000,4.000000,5.050000,6.610000
ART,0,Mon,12,12:00,40.000000,2.550000,0.000000,6.000000,1.600481,0.253058,2.561538,0.627639,0.200864,-0.602088,1.000000,2.500000,4.000000,5.050000,6.000000
ART,0,Mon,13,13:00,40.000000,1.800000,0.000000,5.000000,1.435806,0.227021,2.061538,0.797670,0.533981,-0.363654,1.000000,2.000000,2.250000,4.050000,5.000000
ART,0,Mon,14,14:00,40.000000,0.875000,0.000000,3.000000,0.852974,0.134867,0.727564,0.974827,0.509667,-0.748656,0.000000,1.000000,1.250000,2.000000,2.610000
ART,0,Mon,15,15:00,40.000000,0.400000,0.000000,2.000000,0.590523,0.093370,0.348718,1.476309,1.195350,0.524532,0.000000,0.000000,1.000000,1.050000,2.000000
ART,0,Mon,16,16:00,40.000000,0.075000,0.000000,1.000000,0.266747,0.042176,0.071154,3.556624,3.354255,9.735881,0.000000,0.000000,0.000000,1.000000,1.000000
ART,0,Mon,17,17:00,40.000000,0.075000,0.000000,1.000000,0.266747,0.042176,0.071154,3.556624,3.354255,9.735881,0.000000,0.000000,0.000000,1.000000,1.000000
ART,0,Mon,18,18:00,40.000000,0.025000,0.000000,1.000000,0.158114,0.025000,0.025000,6.324555,6.324555,40.000000,0.000000,0.000000,0.000000,0.000000,0.610000
ART,0,Mon,19,19:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,20,20:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,21,21:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
