day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Mon,0,00:00,40.000000,0.255000,0.000000,1.833333,0.418453,0.066163,0.175103,1.640991,2.024153,4.603107,0.000000,0.000000,0.495833,0.795833,1.644833
0,Mon,1,01:00,40.000000,0.206667,0.000000,1.600000,0.380785,0.060207,0.144997,1.842508,2.045914,3.916359,0.000000,0.000000,0.187500,0.984167,1.366000
0,Mon,2,02:00,40.000000,0.204167,0.000000,0.916667,0.332665,0.052599,0.110666,1.629379,1.203569,-0.249311,0.000000,0.000000,0.500000,0.900000,0.910167
0,Mon,3,03:00,40.000000,0.190000,0.000000,1.133333,0.331142,0.052358,0.109655,1.742855,1.583843,1.181465,0.000000,0.000000,0.270833,0.902500,1.061833
0,Mon,4,04:00,40.000000,0.111250,0.000000,1.000000,0.255910,0.040463,0.065490,2.300313,2.349720,4.703609,0.000000,0.000000,0.000000,0.630000,0.954500
0,Mon,5,05:00,40.000000,1.376250,0.000000,3.016667,0.769179,0.121618,0.591637,0.558895,-0.051254,-0.484581,0.837500,1.458333,1.783333,2.573333,2.893167
0,Mon,6,06:00,40.000000,14.913750,0.000000,20.150000,4.607183,0.728460,21.226138,0.308922,-2.510699,6.124962,14.570833,16.050000,17.312500,18.570000,19.682000
0,Mon,7,07:00,40.000000,26.987917,0.266667,35.150000,8.092406,1.279522,65.487037,0.299853,-2.527126,6.242357,26.570833,28.950000,30.350000,34.471667,34.922500
0,Mon,8,08:00,40.000000,22.059583,0.366667,30.683333,7.405772,1.170955,54.845454,0.335717,-1.781253,3.263911,19.970833,23.341667,27.479167,29.033333,30.163333
0,Mon,9,09:00,40.000000,31.689583,0.333333,44.733333,10.129506,1.601616,102.606890,0.319648,-2.184807,4.997000,29.670833,33.566667,37.195833,40.336667,43.907833
0,Mon,10,10:00,40.000000,37.713333,0.000000,51.283333,12.034824,1.902873,144.836997,0.319113,-2.239488,5.027994,36.462500,40.350000,43.525000,48.691667,50.828333
0,Mon,11,11:00,40.000000,39.805833,0.333333,52.700000,12.685304,2.005723,160.916945,0.318680,-2.234390,4.988951,38.120833,42.933333,47.462500,50.836667,52.245000
0,Mon,12,12:00,40.000000,39.060833,0.233333,53.166667,12.270344,1.940112,150.561347,0.314134,-2.219263,5.031526,37.433333,40.833333,46.495833,49.920833,52.302167
0,Mon,13,13:00,40.000000,35.264583,0.500000,46.633333,11.293917,1.785725,127.552553,0.320262,-2.118016,4.630900,33.008333,37.483333,42.275000,46.092500,46.613833
0,Mon,14,14:00,40.000000,29.437083,0.000000,43.033333,9.746608,1.541074,94.996360,0.331100,-1.771773,3.792265,26.991667,31.691667,34.308333,42.321667,42.916333
0,Mon,15,15:00,40.000000,24.766250,0.000000,36.650000,8.282534,1.309584,68.600363,0.334428,-1.654717,3.501262,22.537500,26.158333,29.608333,34.692500,36.572000
0,Mon,16,16:00,40.000000,19.683333,0.000000,30.166667,6.973116,1.102546,48.624345,0.354265,-1.317067,2.176006,16.825000,20.608333,25.183333,27.490833,29.672667
0,Mon,17,17:00,40.000000,14.469583,0.000000,23.833333,5.319252,0.841048,28.294443,0.367616,-1.000037,1.214367,12.041667,15.483333,17.891667,21.146667,23.007833
0,Mon,18,18:00,40.000000,9.159583,0.000000,18.700000,4.142140,0.654930,17.157320,0.452219,-0.171907,0.234204,6.641667,9.100000,11.829167,15.800833,17.575500
0,Mon,19,19:00,40.000000,6.157083,0.000000,12.866667,2.920038,0.461699,8.526622,0.474257,-0.138558,0.020996,4.050000,6.283333,8.279167,9.949167,12.216667
0,Mon,20,20:00,40.000000,3.065417,0.000000,7.616667,1.769923,0.279849,3.132627,0.577384,0.378168,-0.280384,1.645833,2.858333,4.529167,5.830000,7.018667
0,Mon,21,21:00,40.000000,1.807083,0.000000,4.766667,1.206658,0.190789,1.456024,0.667738,0.346975,-0.331160,1.008333,1.825000,2.387500,3.834167,4.409167
0,Mon,22,22:00,40.000000,0.940417,0.000000,2.233333,0.725501,0.114712,0.526352,0.771468,0.234284,-1.239750,0.375000,0.866667,1.650000,2.055000,2.200833
0,Mon,23,23:00,40.000000,0.779167,0.000000,3.083333,0.802744,0.126925,0.644398,1.030260,0.842491,0.011063,0.000000,0.525000,1.304167,2.051667,2.693333
1,Tue,0,00:00,39.000000,0.472650,0.000000,2.866667,0.657319,0.105255,0.432069,1.390712,1.821614,3.611257,0.000000,0.250000,0.733333,1.756667,2.467667
1,Tue,1,01:00,39.000000,0.202991,0.000000,1.333333,0.375022,0.060052,0.140641,1.847476,1.931038,2.857863,0.000000,0.000000,0.200000,1.031667,1.327000
1,Tue,2,02:00,39.000000,0.146581,0.000000,1.466667,0.323703,0.051834,0.104783,2.208350,2.610424,7.247501,0.000000,0.000000,0.000000,0.700000,1.289333
1,Tue,3,03:00,39.000000,0.096581,0.000000,0.750000,0.219755,0.035189,0.048292,2.275336,2.126966,3.102623,0.000000,0.000000,0.000000,0.598333,0.743667
1,Tue,4,04:00,39.000000,0.092308,0.000000,1.000000,0.227491,0.036428,0.051752,2.464485,2.676122,6.950668,0.000000,0.000000,0.000000,0.588333,0.860667
1,Tue,5,05:00,39.000000,0.175641,0.000000,1.300000,0.334992,0.053642,0.112220,1.907257,1.878066,2.714026,0.000000,0.000000,0.133333,0.916667,1.154333
1,Tue,6,06:00,39.000000,2.454274,1.000000,5.000000,1.077486,0.172536,1.160975,0.439024,0.820301,-0.419780,1.575000,2.150000,3.041667,4.333333,4.803667
1,Tue,7,07:00,39.000000,19.416239,12.666667,24.083333,2.559290,0.409814,6.549963,0.131812,-0.426090,-0.108327,17.941667,19.516667,21.391667,22.951667,23.716000
1,Tue,8,08:00,39.000000,27.877778,20.333333,33.283333,3.198180,0.512119,10.228353,0.114721,-0.647689,-0.184433,26.341667,28.800000,30.166667,32.165000,33.080667
1,Tue,9,09:00,39.000000,22.536325,10.816667,30.116667,4.187706,0.670570,17.536884,0.185820,-0.672795,0.795814,20.200000,22.600000,25.600000,28.265000,29.863333
1,Tue,10,10:00,39.000000,32.497436,22.733333,39.150000,4.065801,0.651049,16.530739,0.125111,-0.450546,0.066169,30.541667,32.850000,34.775000,39.075000,39.150000
1,Tue,11,11:00,39.000000,38.423077,27.350000,49.066667,4.710699,0.754315,22.190682,0.122601,-0.535508,0.070749,35.625000,40.016667,41.358333,43.630000,47.160333
1,Tue,12,12:00,39.000000,39.510684,25.400000,49.666667,5.157644,0.825884,26.601294,0.130538,-0.544897,0.382925,36.558333,40.500000,42.700000,46.666667,48.925667
1,Tue,13,13:00,39.000000,36.269231,25.350000,42.983333,5.319737,0.851840,28.299599,0.146674,-0.631588,-0.703589,32.650000,36.900000,40.500000,42.666667,42.920000
1,Tue,14,14:00,39.000000,31.405128,23.616667,38.450000,3.858078,0.617787,14.884768,0.122849,-0.064790,-0.640148,29.141667,30.883333,34.316667,37.553333,38.348667
1,Tue,15,15:00,39.000000,27.542308,19.583333,38.216667,3.890403,0.622963,15.135232,0.141252,0.467781,0.948739,25.133333,27.350000,29.683333,33.106667,37.608667
1,Tue,16,16:00,39.000000,22.705556,14.783333,30.666667,3.945190,0.631736,15.564522,0.173754,0.172731,-0.513801,19.775000,22.550000,25.066667,29.240000,30.603333
1,Tue,17,17:00,39.000000,16.964530,9.750000,24.083333,3.718488,0.595435,13.827152,0.219192,-0.131783,-0.619503,14.400000,17.133333,19.258333,22.838333,23.627333
1,Tue,18,18:00,39.000000,11.277778,5.350000,17.100000,3.138460,0.502556,9.849932,0.278287,-0.153764,-0.842041,8.758333,11.400000,13.775000,15.918333,16.656667
1,Tue,19,19:00,39.000000,7.029915,3.033333,12.183333,2.305809,0.369225,5.316757,0.328000,0.269520,-0.558902,5.250000,6.966667,8.508333,10.970000,11.904667
1,Tue,20,20:00,39.000000,3.894444,0.500000,11.250000,2.144080,0.343328,4.597081,0.550548,1.273260,2.635414,2.716667,3.466667,4.850000,7.708333,10.046667
1,Tue,21,21:00,39.000000,2.048291,0.000000,4.566667,1.283469,0.205519,1.647292,0.626605,0.113448,-0.819449,1.000000,2.166667,2.675000,4.138333,4.421000
1,Tue,22,22:00,39.000000,0.981197,0.000000,3.550000,0.850414,0.136175,0.723204,0.866711,1.232651,1.972082,0.325000,0.916667,1.441667,2.140000,3.493000
1,Tue,23,23:00,39.000000,0.546581,0.000000,1.816667,0.518181,0.082975,0.268511,0.948040,0.690657,-0.415413,0.000000,0.500000,0.816667,1.403333,1.728000
2,Wed,0,00:00,39.000000,0.433333,0.000000,1.750000,0.565673,0.090580,0.319985,1.305398,1.156998,0.165214,0.000000,0.166667,0.783333,1.643333,1.743667
2,Wed,1,01:00,39.000000,0.242308,0.000000,2.816667,0.529466,0.084782,0.280334,2.185097,3.413788,14.468803,0.000000,0.000000,0.291667,0.941667,2.189667
2,Wed,2,02:00,39.000000,0.151282,0.000000,1.000000,0.311579,0.049893,0.097082,2.059592,1.891960,2.089982,0.000000,0.000000,0.033333,0.901667,0.968333
2,Wed,3,03:00,39.000000,0.097436,0.000000,1.050000,0.238739,0.038229,0.056996,2.450213,2.761193,7.476102,0.000000,0.000000,0.000000,0.603333,0.948667
2,Wed,4,04:00,39.000000,0.105983,0.000000,1.000000,0.247605,0.039649,0.061308,2.336274,2.311874,4.572842,0.000000,0.000000,0.000000,0.600000,0.905000
2,Wed,5,05:00,39.000000,1.485897,0.066667,4.433333,0.842516,0.134910,0.709832,0.567008,1.174294,2.925478,1.000000,1.516667,1.883333,2.863333,3.996333
2,Wed,6,06:00,39.000000,15.555983,9.583333,21.700000,2.344907,0.375486,5.498589,0.150740,0.033789,1.346305,14.558333,15.266667,16.841667,18.263333,21.408667
2,Wed,7,07:00,39.000000,27.882479,17.716667,33.000000,2.931244,0.469375,8.592192,0.105129,-0.993885,2.269988,25.441667,28.383333,29.866667,31.676667,32.531333
2,Wed,8,08:00,39.000000,20.334615,14.800000,26.966667,3.486300,0.558255,12.154289,0.171447,0.112014,-0.983007,17.241667,20.766667,22.650000,26.226667,26.833667
2,Wed,9,09:00,39.000000,28.988889,18.016667,35.833333,4.234009,0.677984,17.926832,0.146056,-0.555767,0.293542,26.583333,29.183333,31.983333,34.946667,35.827000
2,Wed,10,10:00,39.000000,35.326068,23.750000,42.250000,4.442481,0.711366,19.735640,0.125756,-1.010686,0.420857,34.100000,36.300000,38.391667,40.273333,41.521667
2,Wed,11,11:00,39.000000,38.320085,28.216667,46.800000,4.522997,0.724259,20.457503,0.118032,-0.342365,-0.360119,35.125000,38.400000,41.391667,44.651667,46.331333
2,Wed,12,12:00,39.000000,37.548291,28.683333,47.533333,4.791362,0.767232,22.957146,0.127605,0.350635,-0.511348,34.083333,37.216667,40.616667,46.050000,47.425667
2,Wed,13,13:00,39.000000,33.041880,25.400000,42.966667,4.347562,0.696167,18.901299,0.131577,0.320191,-0.104709,30.283333,33.300000,35.033333,41.470000,42.694333
2,Wed,14,14:00,39.000000,27.854701,19.333333,37.683333,3.678871,0.589091,13.534093,0.132074,0.331103,0.564625,25.791667,27.566667,30.316667,33.915000,36.530667
2,Wed,15,15:00,39.000000,24.090171,18.583333,34.300000,3.550123,0.568475,12.603373,0.147368,0.802226,0.476844,21.450000,23.266667,26.633333,29.183333,33.324667
2,Wed,16,16:00,39.000000,18.543162,12.200000,25.916667,3.348825,0.536241,11.214630,0.180596,0.393377,-0.285196,16.558333,17.566667,20.916667,24.626667,25.802667
2,Wed,17,17:00,39.000000,12.582051,4.583333,22.516667,3.609566,0.577993,13.028968,0.286882,0.506959,1.017060,9.900000,11.916667,14.458333,17.996667,21.870667
2,Wed,18,18:00,39.000000,7.907265,3.250000,13.516667,2.922865,0.468033,8.543140,0.369643,0.289162,-1.073248,5.375000,7.633333,10.516667,12.638333,13.314000
2,Wed,19,19:00,39.000000,5.001709,0.500000,11.066667,2.561994,0.410247,6.563813,0.512224,0.659490,0.206232,3.525000,4.983333,6.300000,10.155000,10.794333
2,Wed,20,20:00,39.000000,2.733761,0.000000,5.083333,1.430181,0.229012,2.045416,0.523155,-0.255504,-0.969233,1.500000,2.833333,3.716667,4.736667,4.963000
2,Wed,21,21:00,39.000000,1.609829,0.000000,4.566667,1.111119,0.177922,1.234587,0.690210,0.696585,0.443679,0.866667,1.566667,2.133333,3.433333,4.478000
2,Wed,22,22:00,39.000000,0.945299,0.000000,3.166667,0.869966,0.139306,0.756841,0.920308,0.763121,-0.091377,0.208333,0.700000,1.483333,2.596667,3.052667
2,Wed,23,23:00,39.000000,0.726068,0.000000,4.233333,0.881443,0.141144,0.776941,1.213994,1.920243,5.302321,0.000000,0.583333,0.983333,2.020000,3.403667
3,Thu,0,00:00,39.000000,0.453419,0.000000,2.083333,0.549790,0.088037,0.302269,1.212543,1.278859,1.096075,0.000000,0.333333,0.741667,1.650000,1.918667
3,Thu,1,01:00,39.000000,0.444872,0.000000,1.783333,0.451705,0.072331,0.204037,1.015360,0.900087,0.492845,0.000000,0.333333,0.750000,1.213333,1.612333
3,Thu,2,02:00,39.000000,0.184188,0.000000,1.166667,0.312950,0.050112,0.097938,1.699080,1.531121,1.344581,0.000000,0.000000,0.375000,0.728333,1.040000
3,Thu,3,03:00,39.000000,0.190598,0.000000,1.650000,0.395327,0.063303,0.156284,2.074138,2.108495,4.056860,0.000000,0.000000,0.033333,0.926667,1.409333
3,Thu,4,04:00,39.000000,0.097009,0.000000,0.833333,0.244676,0.039180,0.059867,2.522215,2.434034,4.513109,0.000000,0.000000,0.000000,0.788333,0.833333
3,Thu,5,05:00,39.000000,1.405983,0.000000,2.733333,0.619239,0.099158,0.383457,0.440432,-0.058494,-0.302102,0.866667,1.500000,1.808333,2.365000,2.644667
3,Thu,6,06:00,39.000000,15.172222,0.000000,20.183333,3.431085,0.549413,11.772344,0.226143,-2.368249,9.225742,13.991667,15.883333,17.508333,18.503333,19.841333
3,Thu,7,07:00,39.000000,26.971368,0.850000,33.933333,5.559405,0.890217,30.906988,0.206122,-2.888033,12.303564,25.566667,28.483333,29.683333,32.473333,33.686333
3,Thu,8,08:00,39.000000,21.882479,0.366667,29.700000,4.721108,0.755982,22.288859,0.215748,-2.306786,10.733646,20.116667,21.783333,24.141667,28.158333,29.370667
3,Thu,9,09:00,39.000000,31.193590,0.750000,39.533333,6.403719,1.025416,41.007611,0.205290,-2.755038,12.906262,27.775000,31.416667,34.966667,38.656667,39.508000
3,Thu,10,10:00,39.000000,35.729060,0.000000,46.550000,7.431623,1.190012,55.229016,0.207999,-2.974127,13.755034,33.791667,36.883333,39.575000,44.628333,46.258667
