PatType,day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,0,Mon,0,00:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,1,01:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,2,02:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,3,03:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,4,04:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,5,05:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,6,06:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,7,07:00,40.000000,3.475000,0.000000,5.000000,1.219237,0.192778,1.486538,0.350860,-1.636629,3.133322,3.000000,4.000000,4.000000,5.000000,5.000000
ART,0,Mon,8,08:00,40.000000,4.075000,0.000000,7.000000,1.831176,0.289534,3.353205,0.449368,-0.643702,0.144777,3.000000,4.000000,5.000000,7.000000,7.000000
ART,0,Mon,9,09:00,40.000000,3.625000,0.000000,8.000000,1.807215,0.285746,3.266026,0.498542,-0.226782,0.047312,2.000000,4.000000,5.000000,6.000000,7.220000
ART,0,Mon,10,10:00,40.000000,3.250000,0.000000,7.000000,1.750458,0.276772,3.064103,0.538602,-0.162288,-0.374281,2.000000,3.000000,5.000000,6.000000,6.610000
ART,0,Mon,11,11:00,40.000000,3.000000,0.000000,5.000000,1.339728,0.211830,1.794872,0.446576,-1.077539,0.301045,2.000000,3.500000,4.000000,4.000000,4.610000
ART,0,Mon,12,12:00,40.000000,3.275000,0.000000,7.000000,1.739253,0.275000,3.025000,0.531070,-0.354802,-0.384437,2.000000,4.000000,4.250000,5.050000,6.610000
ART,0,Mon,13,13:00,40.000000,2.750000,0.000000,6.000000,1.808101,0.285886,3.269231,0.657491,-0.017123,-1.045083,1.000000,3.000000,4.000000,5.050000,6.000000
ART,0,Mon,14,14:00,40.000000,2.225000,0.000000,5.000000,1.250385,0.197703,1.563462,0.561971,-0.284602,-0.419863,1.000000,2.500000,3.000000,4.000000,4.610000
ART,0,Mon,15,15:00,40.000000,1.425000,0.000000,4.000000,1.083383,0.171298,1.173718,0.760269,0.585119,-0.049102,1.000000,1.000000,2.000000,3.050000,4.000000
ART,0,Mon,16,16:00,40.000000,0.525000,0.000000,3.000000,0.816104,0.129037,0.666026,1.554484,1.405339,1.040908,0.000000,0.000000,1.000000,2.000000,2.610000
ART,0,Mon,17,17:00,40.000000,0.150000,0.000000,1.000000,0.361620,0.057177,0.130769,2.410802,2.037613,2.262572,0.000000,0.000000,0.000000,1.000000,1.000000
ART,0,Mon,18,18:00,40.000000,0.075000,0.000000,1.000000,0.266747,0.042176,0.071154,3.556624,3.354255,9.735881,0.000000,0.000000,0.000000,1.000000,1.000000
ART,0,Mon,19,19:00,40.000000,0.025000,0.000000,1.000000,0.158114,0.025000,0.025000,6.324555,6.324555,40.000000,0.000000,0.000000,0.000000,0.000000,0.610000
ART,0,Mon,20,20:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,21,21:00,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
