day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Mon,0,00:00,40.000000,0.250000,0.000000,1.000000,0.438529,0.069338,0.192308,1.754116,1.200185,-0.591750,0.000000,0.000000,0.250000,1.000000,1.000000
0,Mon,1,01:00,40.000000,0.350000,0.000000,2.000000,0.622237,0.098384,0.387179,1.777821,1.616626,1.562715,0.000000,0.000000,1.000000,2.000000,2.000000
0,Mon,2,02:00,40.000000,0.300000,0.000000,2.000000,0.563869,0.089156,0.317949,1.879565,1.770449,2.336826,0.000000,0.000000,0.250000,1.050000,2.000000
0,Mon,3,03:00,40.000000,0.150000,0.000000,1.000000,0.361620,0.057177,0.130769,2.410802,2.037613,2.262572,0.000000,0.000000,0.000000,1.000000,1.000000
0,Mon,4,04:00,40.000000,0.225000,0.000000,2.000000,0.530481,0.083876,0.281410,2.357694,2.375053,4.965653,0.000000,0.000000,0.000000,1.050000,2.000000
0,Mon,5,05:00,40.000000,0.075000,0.000000,1.000000,0.266747,0.042176,0.071154,3.556624,3.354255,9.735881,0.000000,0.000000,0.000000,1.000000,1.000000
0,Mon,6,06:00,40.000000,0.150000,0.000000,1.000000,0.361620,0.057177,0.130769,2.410802,2.037613,2.262572,0.000000,0.000000,0.000000,1.000000,1.000000
0,Mon,7,07:00,40.000000,14.750000,0.000000,22.000000,4.572773,0.723019,20.910256,0.310019,-2.180788,5.337989,14.000000,16.000000,17.000000,19.000000,20.830000
0,Mon,8,08:00,40.000000,20.025000,1.000000,31.000000,7.003616,1.107369,49.050641,0.349744,-1.366489,2.102832,18.000000,21.000000,24.000000,29.050000,30.610000
0,Mon,9,09:00,40.000000,24.450000,0.000000,37.000000,8.351109,1.320426,69.741026,0.341559,-1.527796,2.802903,21.750000,25.500000,30.250000,34.000000,35.830000
0,Mon,10,10:00,40.000000,30.075000,0.000000,46.000000,10.224123,1.616576,104.532692,0.339954,-1.718657,3.640920,28.000000,31.000000,36.250000,41.050000,44.440000
0,Mon,11,11:00,40.000000,31.300000,0.000000,48.000000,10.160759,1.606557,103.241026,0.324625,-1.753907,3.528522,28.000000,33.000000,38.000000,40.150000,46.050000
0,Mon,12,12:00,40.000000,31.350000,0.000000,48.000000,10.143964,1.603901,102.900000,0.323571,-1.988386,4.663719,29.500000,33.000000,37.000000,42.050000,46.050000
0,Mon,13,13:00,40.000000,30.725000,1.000000,45.000000,9.842314,1.556207,96.871154,0.320336,-1.925993,4.259357,29.000000,32.000000,36.000000,42.050000,44.220000
0,Mon,14,14:00,40.000000,27.000000,0.000000,40.000000,8.782267,1.388598,77.128205,0.325269,-1.973366,4.423602,26.000000,28.000000,32.000000,36.100000,39.220000
0,Mon,15,15:00,40.000000,22.325000,0.000000,34.000000,8.045982,1.272181,64.737821,0.360402,-1.222889,2.174134,19.750000,22.500000,27.250000,33.000000,33.610000
0,Mon,16,16:00,40.000000,18.450000,0.000000,29.000000,6.468662,1.022785,41.843590,0.350605,-1.236559,2.531735,16.000000,19.000000,21.250000,28.050000,29.000000
0,Mon,17,17:00,40.000000,15.275000,0.000000,25.000000,5.965660,0.943254,35.589103,0.390551,-0.782707,0.774618,12.000000,16.000000,20.000000,23.100000,25.000000
0,Mon,18,18:00,40.000000,10.100000,0.000000,20.000000,4.301461,0.680121,18.502564,0.425887,-0.405774,0.554351,7.750000,11.000000,13.000000,17.000000,18.830000
0,Mon,19,19:00,40.000000,6.800000,0.000000,15.000000,3.435859,0.543257,11.805128,0.505273,0.466177,0.761820,5.000000,7.000000,8.250000,14.050000,15.000000
0,Mon,20,20:00,40.000000,4.200000,0.000000,9.000000,2.174444,0.343810,4.728205,0.517725,0.060485,-0.303154,3.000000,4.000000,5.250000,8.000000,8.610000
0,Mon,21,21:00,40.000000,2.100000,0.000000,5.000000,1.392286,0.220140,1.938462,0.662994,0.412825,-0.706747,1.000000,2.000000,3.000000,4.050000,5.000000
0,Mon,22,22:00,40.000000,1.700000,0.000000,6.000000,1.453554,0.229827,2.112821,0.855032,1.030371,1.269475,1.000000,2.000000,2.000000,5.000000,5.610000
0,Mon,23,23:00,40.000000,0.775000,0.000000,3.000000,0.891196,0.140911,0.794231,1.149931,0.700250,-0.779115,0.000000,0.500000,1.250000,2.000000,2.610000
1,Tue,0,00:00,39.000000,0.641026,0.000000,2.000000,0.777553,0.124508,0.604588,1.212982,0.740260,-0.924797,0.000000,0.000000,1.000000,2.000000,2.000000
1,Tue,1,01:00,39.000000,0.410256,0.000000,4.000000,0.785324,0.125753,0.616734,1.914228,2.890042,10.880620,0.000000,0.000000,1.000000,1.100000,3.240000
1,Tue,2,02:00,39.000000,0.128205,0.000000,2.000000,0.409074,0.065504,0.167341,3.190776,3.432914,12.175641,0.000000,0.000000,0.000000,1.000000,1.620000
1,Tue,3,03:00,39.000000,0.179487,0.000000,2.000000,0.451419,0.072285,0.203779,2.515046,2.594689,6.607751,0.000000,0.000000,0.000000,1.000000,1.620000
1,Tue,4,04:00,39.000000,0.102564,0.000000,1.000000,0.307355,0.049216,0.094467,2.996709,2.725964,5.722008,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,5,05:00,39.000000,0.128205,0.000000,1.000000,0.338688,0.054234,0.114710,2.641770,2.314173,3.534181,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,6,06:00,39.000000,0.128205,0.000000,1.000000,0.338688,0.054234,0.114710,2.641770,2.314173,3.534181,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,7,07:00,39.000000,0.384615,0.000000,3.000000,0.747465,0.119690,0.558704,1.943410,2.011498,3.532037,0.000000,0.000000,0.500000,2.000000,2.620000
1,Tue,8,08:00,39.000000,21.769231,15.000000,26.000000,2.538768,0.406528,6.445344,0.116622,-0.805130,0.482619,20.500000,22.000000,24.000000,24.200000,26.000000
1,Tue,9,09:00,39.000000,19.794872,11.000000,30.000000,4.899944,0.784619,24.009447,0.247536,0.030130,-0.590509,16.500000,19.000000,24.000000,27.200000,29.620000
1,Tue,10,10:00,39.000000,23.897436,10.000000,35.000000,5.092796,0.815500,25.936572,0.213111,-0.637694,1.092788,20.500000,25.000000,26.500000,30.300000,34.240000
1,Tue,11,11:00,39.000000,30.282051,21.000000,41.000000,4.806513,0.769658,23.102564,0.158725,0.420982,-0.057070,27.500000,30.000000,32.000000,39.200000,41.000000
1,Tue,12,12:00,39.000000,31.641026,20.000000,43.000000,4.831297,0.773627,23.341430,0.152691,0.000248,0.040259,28.000000,32.000000,35.000000,39.100000,41.860000
1,Tue,13,13:00,39.000000,31.769231,16.000000,50.000000,7.128377,1.141454,50.813765,0.224380,0.257478,1.020121,27.000000,32.000000,36.000000,41.000000,50.000000
