day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Mon,0,00:00,13.000000,0.461538,0.000000,1.000000,0.518875,0.143910,0.269231,1.124228,0.175204,-2.363636,0.000000,0.000000,1.000000,1.000000,1.000000
0,Mon,1,01:00,13.000000,0.307692,0.000000,1.000000,0.480384,0.133235,0.230769,1.561249,0.946212,-1.339394,0.000000,0.000000,1.000000,1.000000,1.000000
0,Mon,2,02:00,13.000000,0.461538,0.000000,2.000000,0.660225,0.183114,0.435897,1.430488,1.190649,0.645297,0.000000,0.000000,1.000000,1.400000,1.880000
0,Mon,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,Mon,4,04:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
0,Mon,5,05:00,13.000000,4.461538,0.000000,8.000000,2.221688,0.616185,4.935897,0.497965,-0.424707,-0.050566,4.000000,4.000000,6.000000,7.400000,7.880000
0,Mon,6,06:00,13.000000,21.692308,0.000000,28.000000,7.386752,2.048716,54.564103,0.340524,-2.376338,6.543369,20.000000,24.000000,26.000000,27.400000,27.880000
0,Mon,7,07:00,13.000000,14.461538,1.000000,19.000000,4.909436,1.361633,24.102564,0.339482,-1.747602,4.316544,13.000000,15.000000,19.000000,19.000000,19.000000
0,Mon,8,08:00,13.000000,25.307692,1.000000,36.000000,8.189268,2.271294,67.064103,0.323588,-2.281202,7.241662,24.000000,25.000000,30.000000,33.000000,35.400000
0,Mon,9,09:00,13.000000,33.615385,0.000000,48.000000,11.665751,3.235497,136.089744,0.347036,-2.073800,6.026626,31.000000,35.000000,41.000000,45.000000,47.400000
0,Mon,10,10:00,13.000000,35.538462,0.000000,48.000000,11.864621,3.290654,140.769231,0.333853,-2.495346,7.413809,36.000000,38.000000,42.000000,44.400000,47.280000
0,Mon,11,11:00,13.000000,32.230769,2.000000,42.000000,10.223778,2.835566,104.525641,0.317206,-2.318110,6.903235,31.000000,33.000000,38.000000,41.400000,41.880000
