PatType,datetime,arrivals,departures,occupancy,dow_name,bin_of_day_str,day_of_week,bin_of_day,bin_of_week
ART,1996-01-01 00:00:00,0.000000,0.000000,0.000000,Mon,00:00,0,0,0
ART,1996-01-01 01:00:00,0.000000,0.000000,0.000000,Mon,01:00,0,1,1
ART,1996-01-01 02:00:00,0.000000,0.000000,0.000000,Mon,02:00,0,2,2
ART,1996-01-01 03:00:00,0.000000,0.000000,0.000000,Mon,03:00,0,3,3
ART,1996-01-01 04:00:00,0.000000,0.000000,0.000000,Mon,04:00,0,4,4
ART,1996-01-01 05:00:00,0.000000,0.000000,0.000000,Mon,05:00,0,5,5
ART,1996-01-01 06:00:00,0.000000,0.000000,0.000000,Mon,06:00,0,6,6
ART,1996-01-01 07:00:00,0.000000,0.000000,0.000000,Mon,07:00,0,7,7
ART,1996-01-01 08:00:00,0.000000,0.000000,0.000000,Mon,08:00,0,8,8
ART,1996-01-01 09:00:00,0.000000,0.000000,0.000000,Mon,09:00,0,9,9
ART,1996-01-01 10:00:00,0.000000,0.000000,0.000000,Mon,10:00,0,10,10
ART,1996-01-01 11:00:00,0.000000,0.000000,0.000000,Mon,11:00,0,11,11
ART,1996-01-01 12:00:00,0.000000,0.000000,0.000000,Mon,12:00,0,12,12
ART,1996-01-01 13:00:00,0.000000,0.000000,0.000000,Mon,13:00,0,13,13
ART,1996-01-01 14:00:00,0.000000,0.000000,0.000000,Mon,14:00,0,14,14
ART,1996-01-01 15:00:00,0.000000,0.000000,0.000000,Mon,15:00,0,15,15
ART,1996-01-01 16:00:00,0.000000,0.000000,0.000000,Mon,16:00,0,16,16
ART,1996-01-01 17:00:00,0.000000,0.000000,0.000000,Mon,17:00,0,17,17
ART,1996-01-01 18:00:00,0.000000,0.000000,0.000000,Mon,18:00,0,18,18
ART,1996-01-01 19:00:00,0.000000,0.000000,0.000000,Mon,19:00,0,19,19
ART,1996-01-01 20:00:00,0.000000,0.000000,0.000000,Mon,20:00,0,20,20
ART,1996-01-01 21:00:00,0.000000,0.000000,0.000000,Mon,21:00,0,21,21
ART,1996-01-01 22:00:00,0.000000,0.000000,0.000000,Mon,22:00,0,22,22
ART,1996-01-01 23:00:00,0.000000,0.000000,0.000000,Mon,23:00,0,23,23
ART,1996-01-02 00:00:00,0.000000,0.000000,0.000000,Tue,00:00,1,0,24
ART,1996-01-02 01:00:00,0.000000,0.000000,0.000000,Tue,01:00,1,1,25
ART,1996-01-02 02:00:00,0.000000,0.000000,0.000000,Tue,02:00,1,2,26
ART,1996-01-02 03:00:00,0.000000,0.000000,0.000000,Tue,03:00,1,3,27
ART,1996-01-02 04:00:00,0.000000,0.000000,0.000000,Tue,04:00,1,4,28
ART,1996-01-02 05:00:00,0.000000,0.000000,0.000000,Tue,05:00,1,5,29
ART,1996-01-02 06:00:00,2.000000,0.000000,0.500000,Tue,06:00,1,6,30
ART,1996-01-02 07:00:00,6.000000,0.000000,4.400000,Tue,07:00,1,7,31
ART,1996-01-02 08:00:00,5.000000,6.000000,9.716667,Tue,08:00,1,8,32
ART,1996-01-02 09:00:00,5.000000,4.000000,6.933333,Tue,09:00,1,9,33
ART,1996-01-02 10:00:00,2.000000,5.000000,4.833333,Tue,10:00,1,10,34
ART,1996-01-02 11:00:00,5.000000,2.000000,5.516667,Tue,11:00,1,11,35
ART,1996-01-02 12:00:00,1.000000,6.000000,5.016667,Tue,12:00,1,12,36
ART,1996-01-02 13:00:00,3.000000,3.000000,2.900000,Tue,13:00,1,13,37
ART,1996-01-02 14:00:00,0.000000,1.000000,2.516667,Tue,14:00,1,14,38
ART,1996-01-02 15:00:00,1.000000,2.000000,1.483333,Tue,15:00,1,15,39
ART,1996-01-02 16:00:00,0.000000,0.000000,1.000000,Tue,16:00,1,16,40
ART,1996-01-02 17:00:00,0.000000,1.000000,0.000000,Tue,17:00,1,17,41
ART,1996-01-02 18:00:00,0.000000,0.000000,0.000000,Tue,18:00,1,18,42
ART,1996-01-02 19:00:00,0.000000,0.000000,0.000000,Tue,19:00,1,19,43
ART,1996-01-02 20:00:00,0.000000,0.000000,0.000000,Tue,20:00,1,20,44
ART,1996-01-02 21:00:00,0.000000,0.000000,0.000000,Tue,21:00,1,21,45
ART,1996-01-02 22:00:00,0.000000,0.000000,0.000000,Tue,22:00,1,22,46
ART,1996-01-02 23:00:00,0.000000,0.000000,0.000000,Tue,23:00,1,23,47
ART,1996-01-03 00:00:00,0.000000,0.000000,0.000000,Wed,00:00,2,0,48
ART,1996-01-03 01:00:00,0.000000,0.000000,0.000000,Wed,01:00,2,1,49
ART,1996-01-03 02:00:00,0.000000,0.000000,0.000000,Wed,02:00,2,2,50
ART,1996-01-03 03:00:00,0.000000,0.000000,0.000000,Wed,03:00,2,3,51
ART,1996-01-03 04:00:00,0.000000,0.000000,0.000000,Wed,04:00,2,4,52
ART,1996-01-03 05:00:00,0.000000,0.000000,0.000000,Wed,05:00,2,5,53
ART,1996-01-03 06:00:00,6.000000,0.000000,3.350000,Wed,06:00,2,6,54
ART,1996-01-03 07:00:00,3.000000,4.000000,7.800000,Wed,07:00,2,7,55
ART,1996-01-03 08:00:00,1.000000,4.000000,2.500000,Wed,08:00,2,8,56
ART,1996-01-03 09:00:00,6.000000,2.000000,5.066667,Wed,09:00,2,9,57
ART,1996-01-03 10:00:00,2.000000,4.000000,4.233333,Wed,10:00,2,10,58
ART,1996-01-03 11:00:00,4.000000,3.000000,3.983333,Wed,11:00,2,11,59
ART,1996-01-03 12:00:00,1.000000,2.000000,4.850000,Wed,12:00,2,12,60
ART,1996-01-03 13:00:00,2.000000,4.000000,3.083333,Wed,13:00,2,13,61
ART,1996-01-03 14:00:00,0.000000,1.000000,1.666667,Wed,14:00,2,14,62
ART,1996-01-03 15:00:00,0.000000,1.000000,0.583333,Wed,15:00,2,15,63
ART,1996-01-03 16:00:00,0.000000,0.000000,0.000000,Wed,16:00,2,16,64
ART,1996-01-03 17:00:00,0.000000,0.000000,0.000000,Wed,17:00,2,17,65
ART,1996-01-03 18:00:00,0.000000,0.000000,0.000000,Wed,18:00,2,18,66
ART,1996-01-03 19:00:00,0.000000,0.000000,0.000000,Wed,19:00,2,19,67
ART,1996-01-03 20:00:00,0.000000,0.000000,0.000000,Wed,20:00,2,20,68
ART,1996-01-03 21:00:00,0.000000,0.000000,0.000000,Wed,21:00,2,21,69
ART,1996-01-03 22:00:00,0.000000,0.000000,0.000000,Wed,22:00,2,22,70
ART,1996-01-03 23:00:00,0.000000,0.000000,0.000000,Wed,23:00,2,23,71
ART,1996-01-04 00:00:00,0.000000,0.000000,0.000000,Thu,00:00,3,0,72
ART,1996-01-04 01:00:00,0.000000,0.000000,0.000000,Thu,01:00,3,1,73
