PatType,day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,0,Mon,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,6,06:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,7,07:00,13.000000,3.307692,0.000000,5.000000,1.315587,0.364878,1.730769,0.397736,-1.191618,2.516310,3.000000,3.000000,4.000000,5.000000,5.000000
ART,0,Mon,8,08:00,13.000000,4.461538,0.000000,7.000000,1.853617,0.514101,3.435897,0.415466,-0.902559,1.847759,4.000000,5.000000,5.000000,7.000000,7.000000
ART,0,Mon,9,09:00,13.000000,3.769231,0.000000,6.000000,1.877669,0.520772,3.525641,0.498157,-0.766908,-0.268372,3.000000,4.000000,5.000000,6.000000,6.000000
ART,0,Mon,10,10:00,13.000000,2.769231,0.000000,5.000000,1.690850,0.468957,2.858974,0.610585,-0.429640,-0.814451,2.000000,3.000000,4.000000,5.000000,5.000000
ART,0,Mon,11,11:00,13.000000,3.230769,0.000000,5.000000,1.235168,0.342574,1.525641,0.382314,-1.454693,3.347414,3.000000,3.000000,4.000000,4.400000,4.880000
ART,0,Mon,12,12:00,13.000000,3.076923,0.000000,7.000000,1.800997,0.499507,3.243590,0.585324,0.472250,0.856129,2.000000,3.000000,4.000000,5.800000,6.760000
ART,0,Mon,13,13:00,13.000000,2.615385,0.000000,6.000000,2.063107,0.572203,4.256410,0.788835,0.411310,-0.975914,1.000000,2.000000,4.000000,6.000000,6.000000
ART,0,Mon,14,14:00,13.000000,2.384615,0.000000,5.000000,1.445595,0.400936,2.089744,0.606217,-0.217597,-0.052470,2.000000,3.000000,3.000000,4.400000,4.880000
ART,0,Mon,15,15:00,13.000000,1.000000,0.000000,2.000000,0.707107,0.196116,0.500000,0.707107,0.000000,-0.618182,1.000000,1.000000,1.000000,2.000000,2.000000
ART,0,Mon,16,16:00,13.000000,0.384615,0.000000,3.000000,0.869718,0.241217,0.756410,2.261268,2.662782,7.469797,0.000000,0.000000,0.000000,1.800000,2.760000
ART,0,Mon,17,17:00,13.000000,0.230769,0.000000,1.000000,0.438529,0.121626,0.192308,1.900292,1.451132,0.094545,0.000000,0.000000,0.000000,1.000000,1.000000
ART,0,Mon,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,6,06:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,7,07:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,8,08:00,13.000000,5.538462,4.000000,7.000000,0.967418,0.268313,0.935897,0.174673,-0.127440,-0.638435,5.000000,6.000000,6.000000,7.000000,7.000000
ART,1,Tue,9,09:00,13.000000,3.692308,1.000000,10.000000,2.657838,0.737152,7.064103,0.719831,1.209747,1.337875,2.000000,3.000000,4.000000,8.200000,9.640000
ART,1,Tue,10,10:00,13.000000,3.307692,0.000000,6.000000,1.843213,0.511215,3.397436,0.557251,0.031268,-0.865974,2.000000,3.000000,5.000000,6.000000,6.000000
ART,1,Tue,11,11:00,13.000000,3.846154,2.000000,8.000000,1.993579,0.552919,3.974359,0.518331,0.771391,-0.405916,2.000000,3.000000,5.000000,6.800000,7.760000
ART,1,Tue,12,12:00,13.000000,3.384615,1.000000,6.000000,1.556624,0.431730,2.423077,0.459912,0.175204,-0.109219,3.000000,3.000000,4.000000,6.000000,6.000000
ART,1,Tue,13,13:00,13.000000,3.692308,2.000000,7.000000,1.702186,0.472101,2.897436,0.461009,0.688387,-0.797554,2.000000,3.000000,5.000000,6.400000,6.880000
ART,1,Tue,14,14:00,13.000000,2.307692,1.000000,4.000000,1.182132,0.327864,1.397436,0.512257,0.366170,-1.329135,1.000000,2.000000,3.000000,4.000000,4.000000
ART,1,Tue,15,15:00,13.000000,1.538462,0.000000,3.000000,0.776250,0.215293,0.602564,0.504563,-0.149506,0.195811,1.000000,2.000000,2.000000,2.400000,2.880000
ART,1,Tue,16,16:00,13.000000,0.384615,0.000000,2.000000,0.650444,0.180401,0.423077,1.691153,1.575530,1.801052,0.000000,0.000000,1.000000,1.400000,1.880000
ART,1,Tue,17,17:00,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
ART,1,Tue,18,18:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,1,Tue,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,6,06:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,7,07:00,13.000000,3.076923,1.000000,4.000000,1.115164,0.309291,1.243590,0.362428,-1.026154,-0.101137,3.000000,3.000000,4.000000,4.000000,4.000000
ART,2,Wed,8,08:00,13.000000,4.923077,1.000000,9.000000,2.139374,0.593356,4.576923,0.434560,-0.123909,0.188109,4.000000,5.000000,6.000000,7.800000,8.760000
ART,2,Wed,9,09:00,13.000000,3.846154,2.000000,7.000000,1.519109,0.421325,2.307692,0.394968,0.641325,0.166242,3.000000,4.000000,4.000000,6.400000,6.880000
ART,2,Wed,10,10:00,13.000000,3.153846,1.000000,4.000000,0.898717,0.249259,0.807692,0.284959,-1.156049,1.538240,3.000000,3.000000,4.000000,4.000000,4.000000
ART,2,Wed,11,11:00,13.000000,3.461538,1.000000,6.000000,1.506397,0.417799,2.269231,0.435181,0.086943,-1.007788,2.000000,3.000000,5.000000,5.400000,5.880000
ART,2,Wed,12,12:00,13.000000,3.384615,2.000000,5.000000,0.960769,0.266469,0.923077,0.283864,-0.279921,-0.891288,3.000000,4.000000,4.000000,4.400000,4.880000
ART,2,Wed,13,13:00,13.000000,3.153846,2.000000,6.000000,1.143544,0.317162,1.307692,0.362587,1.232214,2.059390,2.000000,3.000000,4.000000,4.800000,5.760000
ART,2,Wed,14,14:00,13.000000,1.692308,0.000000,4.000000,1.031553,0.286101,1.064103,0.609554,0.732633,1.026221,1.000000,2.000000,2.000000,3.400000,3.880000
ART,2,Wed,15,15:00,13.000000,1.230769,0.000000,3.000000,1.165751,0.323321,1.358974,0.947172,0.593703,-1.020344,0.000000,1.000000,2.000000,3.000000,3.000000
ART,2,Wed,16,16:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
ART,2,Wed,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
