day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Mon,0,00:00,13.000000,0.230769,0.000000,1.000000,0.438529,0.121626,0.192308,1.900292,1.451132,0.094545,0.000000,0.000000,0.000000,1.000000,1.000000
0,Mon,1,01:00,13.000000,0.461538,0.000000,2.000000,0.660225,0.183114,0.435897,1.430488,1.190649,0.645297,0.000000,0.000000,1.000000,1.400000,1.880000
0,Mon,2,02:00,13.000000,0.461538,0.000000,2.000000,0.660225,0.183114,0.435897,1.430488,1.190649,0.645297,0.000000,0.000000,1.000000,1.400000,1.880000
0,Mon,3,03:00,13.000000,0.230769,0.000000,1.000000,0.438529,0.121626,0.192308,1.900292,1.451132,0.094545,0.000000,0.000000,0.000000,1.000000,1.000000
0,Mon,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0,Mon,5,05:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
0,Mon,6,06:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
0,Mon,7,07:00,13.000000,15.076923,0.000000,19.000000,4.838415,1.341935,23.410256,0.320915,-2.867405,9.187800,15.000000,17.000000,17.000000,18.400000,18.880000
0,Mon,8,08:00,13.000000,20.769231,1.000000,31.000000,7.013723,1.945257,49.192308,0.337698,-1.843456,5.474518,18.000000,23.000000,24.000000,28.000000,30.400000
0,Mon,9,09:00,13.000000,26.923077,1.000000,37.000000,8.722209,2.419105,76.076923,0.323968,-2.374161,7.148074,24.000000,29.000000,31.000000,34.600000,36.520000
0,Mon,10,10:00,13.000000,30.692308,0.000000,46.000000,10.339122,2.867556,106.897436,0.336864,-2.214657,7.476561,30.000000,32.000000,35.000000,40.600000,44.920000
0,Mon,11,11:00,13.000000,31.769231,0.000000,43.000000,10.948012,3.036432,119.858974,0.344611,-2.202264,6.130074,28.000000,35.000000,39.000000,41.200000,42.640000
0,Mon,12,12:00,13.000000,30.923077,1.000000,39.000000,9.759282,2.706738,95.243590,0.315599,-2.704492,8.419497,31.000000,33.000000,35.000000,38.400000,38.880000
0,Mon,13,13:00,13.000000,31.846154,2.000000,42.000000,10.131191,2.809887,102.641026,0.318129,-2.408572,6.739991,32.000000,34.000000,38.000000,39.600000,41.520000
0,Mon,14,14:00,13.000000,26.769231,0.000000,38.000000,9.166550,2.542344,84.025641,0.342429,-2.211141,6.563170,27.000000,28.000000,31.000000,36.200000,37.640000
0,Mon,15,15:00,13.000000,21.538462,2.000000,30.000000,7.078316,1.963172,50.102564,0.328636,-1.802912,4.589395,19.000000,22.000000,26.000000,28.800000,29.760000
0,Mon,16,16:00,13.000000,18.076923,0.000000,29.000000,6.626481,1.837855,43.910256,0.366571,-1.531444,4.808684,16.000000,19.000000,21.000000,25.400000,28.280000
0,Mon,17,17:00,13.000000,15.692308,0.000000,25.000000,6.562324,1.820061,43.064103,0.418187,-0.985057,1.604887,12.000000,16.000000,20.000000,23.800000,24.760000
0,Mon,18,18:00,13.000000,9.461538,0.000000,17.000000,4.274252,1.185464,18.269231,0.451750,-0.603905,1.063491,7.000000,11.000000,12.000000,14.600000,16.520000
0,Mon,19,19:00,13.000000,6.846154,1.000000,11.000000,2.577019,0.714736,6.641026,0.376418,-0.386547,1.672945,6.000000,7.000000,8.000000,11.000000,11.000000
0,Mon,20,20:00,13.000000,4.307692,0.000000,8.000000,2.175033,0.603246,4.730769,0.504918,0.164808,0.609774,3.000000,4.000000,5.000000,8.000000,8.000000
0,Mon,21,21:00,13.000000,1.615385,0.000000,3.000000,1.120897,0.310881,1.256410,0.693889,0.079449,-1.387172,1.000000,1.000000,3.000000,3.000000,3.000000
0,Mon,22,22:00,13.000000,1.692308,0.000000,5.000000,1.377474,0.382043,1.897436,0.813962,1.107678,1.554147,1.000000,1.000000,2.000000,3.800000,4.760000
0,Mon,23,23:00,13.000000,0.615385,0.000000,2.000000,0.767948,0.212990,0.589744,1.247915,0.849243,-0.580409,0.000000,0.000000,1.000000,2.000000,2.000000
1,Tue,0,00:00,13.000000,0.769231,0.000000,2.000000,0.926809,0.257050,0.858974,1.204851,0.531434,-1.753061,0.000000,0.000000,2.000000,2.000000,2.000000
1,Tue,1,01:00,13.000000,0.307692,0.000000,1.000000,0.480384,0.133235,0.230769,1.561249,0.946212,-1.339394,0.000000,0.000000,1.000000,1.000000,1.000000
1,Tue,2,02:00,13.000000,0.076923,0.000000,1.000000,0.277350,0.076923,0.076923,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.400000,0.880000
1,Tue,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,Tue,4,04:00,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,5,05:00,13.000000,0.153846,0.000000,1.000000,0.375534,0.104154,0.141026,2.440970,2.178717,3.223140,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,6,06:00,13.000000,0.230769,0.000000,1.000000,0.438529,0.121626,0.192308,1.900292,1.451132,0.094545,0.000000,0.000000,0.000000,1.000000,1.000000
1,Tue,7,07:00,13.000000,0.461538,0.000000,2.000000,0.776250,0.215293,0.602564,1.681875,1.412833,0.546343,0.000000,0.000000,1.000000,2.000000,2.000000
1,Tue,8,08:00,13.000000,21.076923,15.000000,26.000000,3.546396,0.983593,12.576923,0.168260,-0.511900,-1.070855,18.000000,22.000000,24.000000,24.800000,25.760000
1,Tue,9,09:00,13.000000,19.538462,11.000000,29.000000,4.858247,1.347435,23.602564,0.248650,0.044184,0.110573,16.000000,20.000000,22.000000,26.000000,28.400000
1,Tue,10,10:00,13.000000,22.538462,10.000000,28.000000,4.719029,1.308823,22.269231,0.209377,-1.552595,3.559806,20.000000,24.000000,25.000000,28.000000,28.000000
1,Tue,11,11:00,13.000000,30.307692,21.000000,41.000000,5.836446,1.618739,34.064103,0.192573,0.566842,0.450829,29.000000,30.000000,32.000000,41.000000,41.000000
1,Tue,12,12:00,13.000000,32.000000,23.000000,43.000000,5.686241,1.577079,32.333333,0.177695,0.453173,-0.300954,28.000000,31.000000,35.000000,41.200000,42.640000
1,Tue,13,13:00,13.000000,30.692308,16.000000,38.000000,6.524117,1.809464,42.564103,0.212565,-1.191686,0.755757,30.000000,32.000000,35.000000,37.400000,37.880000
1,Tue,14,14:00,13.000000,27.461538,20.000000,39.000000,5.724442,1.587674,32.769231,0.208453,0.374990,-0.466353,22.000000,28.000000,31.000000,35.400000,38.280000
1,Tue,15,15:00,13.000000,22.000000,15.000000,26.000000,2.972092,0.824310,8.833333,0.135095,-1.372978,2.048882,22.000000,22.000000,23.000000,25.400000,25.880000
1,Tue,16,16:00,13.000000,20.692308,16.000000,27.000000,3.637412,1.008837,13.230769,0.175786,0.439844,-1.338909,18.000000,19.000000,24.000000,25.800000,26.760000
1,Tue,17,17:00,13.000000,16.615385,10.000000,24.000000,4.052540,1.123972,16.423077,0.243903,0.383456,-0.472364,15.000000,15.000000,20.000000,22.800000,23.760000
1,Tue,18,18:00,13.000000,12.153846,3.000000,20.000000,4.561545,1.265145,20.807692,0.375317,-0.210935,0.159040,9.000000,12.000000,15.000000,18.800000,19.760000
1,Tue,19,19:00,13.000000,8.230769,5.000000,12.000000,2.127355,0.590022,4.525641,0.258464,0.380969,-0.997333,7.000000,7.000000,10.000000,11.400000,11.880000
1,Tue,20,20:00,13.000000,4.692308,2.000000,9.000000,2.529315,0.701506,6.397436,0.539034,0.226673,-1.353071,2.000000,5.000000,6.000000,8.400000,8.880000
1,Tue,21,21:00,13.000000,2.384615,0.000000,4.000000,1.386750,0.384615,1.923077,0.581541,-0.161266,-1.282036,1.000000,2.000000,4.000000,4.000000,4.000000
1,Tue,22,22:00,13.000000,1.461538,0.000000,3.000000,1.050031,0.291226,1.102564,0.718442,0.374498,-0.936123,1.000000,1.000000,2.000000,3.000000,3.000000
1,Tue,23,23:00,13.000000,0.769231,0.000000,2.000000,0.725011,0.201082,0.525641,0.942514,0.394520,-0.755070,0.000000,1.000000,1.000000,2.000000,2.000000
2,Wed,0,00:00,13.000000,0.538462,0.000000,1.000000,0.518875,0.143910,0.269231,0.963624,-0.175204,-2.363636,0.000000,1.000000,1.000000,1.000000,1.000000
