PatType,day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,0,Mon,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,5,05:00,13.000000,0.285897,0.000000,1.633333,0.473992,0.131462,0.224669,1.657911,2.192321,5.290431,0.000000,0.000000,0.500000,1.053333,1.517333
ART,0,Mon,6,06:00,13.000000,3.834615,0.000000,6.033333,1.510449,0.418923,2.281457,0.393898,-1.050523,3.031437,3.400000,3.850000,4.366667,5.993333,6.025333
ART,0,Mon,7,07:00,13.000000,7.098718,0.000000,10.133333,2.568789,0.712454,6.598679,0.361867,-1.789473,4.652192,6.583333,7.600000,8.133333,9.873333,10.081333
ART,0,Mon,8,08:00,13.000000,5.206410,0.000000,9.050000,2.563360,0.710948,6.570812,0.492347,-0.477667,-0.215352,3.916667,5.300000,7.366667,8.160000,8.872000
ART,0,Mon,9,09:00,13.000000,4.891026,0.000000,7.333333,2.065161,0.572773,4.264890,0.422235,-1.072254,1.301171,4.333333,5.300000,6.833333,7.083333,7.283333
ART,0,Mon,10,10:00,13.000000,4.408974,0.000000,6.866667,1.800625,0.499404,3.242251,0.408400,-1.126676,1.921765,3.433333,4.500000,5.383333,6.576667,6.808667
ART,0,Mon,11,11:00,13.000000,4.558974,0.000000,7.150000,1.756570,0.487185,3.085538,0.385299,-1.439967,3.269452,4.016667,5.066667,5.383333,6.380000,6.996000
ART,0,Mon,12,12:00,13.000000,3.924359,0.000000,7.316667,1.965956,0.545258,3.864982,0.500962,-0.100264,0.165286,2.983333,3.566667,5.300000,6.826667,7.218667
ART,0,Mon,13,13:00,13.000000,3.502564,0.000000,6.916667,1.886058,0.523098,3.557215,0.538479,-0.528239,0.587356,3.300000,3.950000,4.383333,5.816667,6.696667
ART,0,Mon,14,14:00,13.000000,2.011538,0.000000,4.716667,1.316673,0.365180,1.733629,0.654560,0.412474,0.571177,1.433333,1.783333,2.666667,4.186667,4.610667
ART,0,Mon,15,15:00,13.000000,0.693590,0.000000,2.700000,0.843042,0.233818,0.710719,1.215476,1.321610,1.201028,0.083333,0.333333,1.083333,2.130000,2.586000
ART,0,Mon,16,16:00,13.000000,0.294872,0.000000,1.166667,0.457215,0.126809,0.209046,1.550555,1.200615,-0.347510,0.000000,0.000000,0.500000,1.066667,1.146667
ART,0,Mon,17,17:00,13.000000,0.083333,0.000000,0.666667,0.192450,0.053376,0.037037,2.309401,2.734623,7.841974,0.000000,0.000000,0.000000,0.416667,0.616667
ART,0,Mon,18,18:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,0,Mon,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,5,05:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,6,06:00,13.000000,0.380769,0.033333,0.750000,0.258722,0.071757,0.066937,0.679473,0.167462,-1.471098,0.183333,0.283333,0.583333,0.740000,0.748000
ART,1,Tue,7,07:00,13.000000,4.619231,3.000000,6.700000,1.226366,0.340133,1.503974,0.265491,0.592170,-0.729553,3.600000,4.383333,5.616667,6.680000,6.696000
ART,1,Tue,8,08:00,13.000000,7.908974,5.516667,13.016667,2.187418,0.606681,4.784797,0.276574,1.087545,1.032045,6.100000,7.466667,8.633333,11.496667,12.712667
ART,1,Tue,9,09:00,13.000000,5.200000,2.150000,9.716667,2.113383,0.586147,4.466389,0.406420,0.517500,0.304270,3.500000,5.033333,5.883333,8.376667,9.448667
ART,1,Tue,10,10:00,13.000000,5.305128,3.000000,8.566667,1.509068,0.418540,2.277286,0.284455,0.245575,0.769488,4.666667,5.766667,5.983333,7.206667,8.294667
ART,1,Tue,11,11:00,13.000000,5.133333,3.800000,7.333333,1.081280,0.299893,1.169167,0.210639,0.552257,-0.170854,4.250000,5.033333,5.516667,6.783333,7.223333
ART,1,Tue,12,12:00,13.000000,5.200000,3.716667,7.450000,1.299893,0.360525,1.689722,0.249979,0.834390,-0.631135,4.200000,5.016667,5.383333,7.340000,7.428000
ART,1,Tue,13,13:00,13.000000,3.696154,2.250000,6.133333,1.159225,0.321511,1.343803,0.313630,0.693970,-0.157267,2.833333,3.650000,4.450000,5.453333,5.997333
ART,1,Tue,14,14:00,13.000000,2.273077,0.533333,4.216667,1.109482,0.307715,1.230951,0.488097,-0.103654,-0.810836,1.466667,2.516667,2.916667,3.736667,4.120667
ART,1,Tue,15,15:00,13.000000,1.034615,0.000000,2.650000,0.801459,0.222285,0.642336,0.774644,0.876287,0.105427,0.500000,0.866667,1.483333,2.480000,2.616000
ART,1,Tue,16,16:00,13.000000,0.279487,0.000000,1.966667,0.585676,0.162437,0.343016,2.095538,2.450009,5.947377,0.000000,0.000000,0.083333,1.386667,1.850667
ART,1,Tue,17,17:00,13.000000,0.089744,0.000000,1.166667,0.323575,0.089744,0.104701,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.466667,1.026667
ART,1,Tue,18,18:00,13.000000,0.006410,0.000000,0.083333,0.023113,0.006410,0.000534,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.033333,0.073333
ART,1,Tue,19,19:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,20,20:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,21,21:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,22,22:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,1,Tue,23,23:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,0,00:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,1,01:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,2,02:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,3,03:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,4,04:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ART,2,Wed,5,05:00,13.000000,0.391026,0.000000,1.333333,0.448950,0.124516,0.201556,1.148135,1.194253,0.420427,0.000000,0.233333,0.450000,1.233333,1.313333
ART,2,Wed,6,06:00,13.000000,3.710256,1.683333,5.483333,1.215516,0.337123,1.477479,0.327610,0.059984,-0.960342,3.116667,3.350000,4.833333,5.393333,5.465333
ART,2,Wed,7,07:00,13.000000,7.629487,5.183333,10.583333,1.744398,0.483809,3.042924,0.228639,0.385189,-0.812090,6.216667,7.800000,8.583333,10.513333,10.569333
ART,2,Wed,8,08:00,13.000000,5.262821,2.500000,8.716667,1.785204,0.495126,3.186952,0.339210,0.371832,-0.475197,4.150000,4.950000,6.466667,7.856667,8.544667
ART,2,Wed,9,09:00,13.000000,5.347436,3.116667,7.583333,1.455861,0.403783,2.119530,0.272254,-0.025653,-0.910364,4.650000,5.233333,6.266667,7.433333,7.553333
ART,2,Wed,10,10:00,13.000000,5.014103,2.816667,8.333333,1.664288,0.461590,2.769854,0.331921,0.579157,-0.267847,3.883333,4.866667,6.233333,7.703333,8.207333
ART,2,Wed,11,11:00,13.000000,4.914103,3.350000,6.333333,0.808544,0.224250,0.653743,0.164535,-0.113551,0.239318,4.683333,4.916667,5.316667,6.163333,6.299333
ART,2,Wed,12,12:00,13.000000,4.588462,2.583333,6.100000,1.002113,0.277936,1.004231,0.218399,-0.751697,0.450691,4.433333,4.750000,4.850000,5.820000,6.044000
ART,2,Wed,13,13:00,13.000000,2.932051,1.100000,5.300000,1.174073,0.325629,1.378447,0.400427,0.288191,-0.176067,1.916667,3.233333,3.366667,4.620000,5.164000
ART,2,Wed,14,14:00,13.000000,1.820513,0.083333,3.716667,1.114263,0.309041,1.241581,0.612060,0.055728,-0.918666,0.750000,1.833333,2.900000,3.316667,3.636667
ART,2,Wed,15,15:00,13.000000,0.411538,0.000000,1.183333,0.464349,0.128787,0.215620,1.128324,0.818265,-0.865893,0.000000,0.250000,0.583333,1.173333,1.181333
ART,2,Wed,16,16:00,13.000000,0.057692,0.000000,0.750000,0.208013,0.057692,0.043269,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.300000,0.660000
ART,2,Wed,17,17:00,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
