day_of_week,dow_name,bin_of_day,bin_of_day_str,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
0,Mon,0,00:00,13.000000,0.292308,0.000000,0.766667,0.310437,0.086100,0.096371,1.062021,0.323427,-1.788794,0.000000,0.250000,0.600000,0.706667,0.754667
0,Mon,1,01:00,13.000000,0.260256,0.000000,1.000000,0.371965,0.103165,0.138358,1.429227,1.308016,0.471937,0.000000,0.000000,0.483333,0.990000,0.998000
0,Mon,2,02:00,13.000000,0.361538,0.000000,0.916667,0.387919,0.107589,0.150481,1.072966,0.393781,-1.643852,0.000000,0.316667,0.666667,0.906667,0.914667
0,Mon,3,03:00,13.000000,0.057692,0.000000,0.416667,0.129030,0.035787,0.016649,2.236528,2.359507,5.068411,0.000000,0.000000,0.000000,0.316667,0.396667
0,Mon,4,04:00,13.000000,0.067949,0.000000,0.883333,0.244993,0.067949,0.060021,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.353333,0.777333
0,Mon,5,05:00,13.000000,1.417949,0.000000,2.566667,0.810477,0.224786,0.656873,0.571584,-0.455543,-0.464796,1.200000,1.633333,1.766667,2.536667,2.560667
0,Mon,6,06:00,13.000000,15.039744,0.000000,17.850000,4.701652,1.304004,22.105534,0.312615,-3.142573,10.569181,14.650000,16.083333,17.350000,17.730000,17.826000
0,Mon,7,07:00,13.000000,28.023077,0.266667,34.350000,8.506597,2.359306,72.362201,0.303557,-3.350018,11.762872,28.833333,29.900000,30.400000,33.350000,34.150000
0,Mon,8,08:00,13.000000,24.039744,1.366667,30.683333,7.435732,2.062301,55.290118,0.309310,-2.655105,8.161819,23.516667,25.600000,28.083333,29.883333,30.523333
0,Mon,9,09:00,13.000000,33.410256,0.333333,44.733333,10.529081,2.920242,110.861553,0.315145,-2.885397,9.719111,32.666667,35.433333,37.333333,41.643333,44.115333
0,Mon,10,10:00,13.000000,38.337179,0.000000,48.616667,12.430725,3.447663,154.522924,0.324247,-2.745874,8.711980,38.366667,41.300000,44.616667,48.566667,48.606667
0,Mon,11,11:00,13.000000,41.264103,0.416667,52.700000,13.278995,3.682931,176.331706,0.321805,-2.736736,8.577418,40.633333,44.033333,46.916667,51.430000,52.446000
0,Mon,12,12:00,13.000000,40.488462,2.750000,53.166667,12.569042,3.486025,157.980805,0.310435,-2.509342,7.500515,39.866667,43.150000,46.833333,50.446667,52.622667
0,Mon,13,13:00,13.000000,35.866667,0.500000,46.583333,11.598312,3.216793,134.520833,0.323373,-2.649342,8.195729,35.666667,37.816667,41.150000,45.773333,46.421333
0,Mon,14,14:00,13.000000,29.766667,1.066667,42.300000,10.332944,2.865843,106.769722,0.347131,-1.808069,4.797169,26.900000,32.250000,34.850000,40.750000,41.990000
0,Mon,15,15:00,13.000000,25.069231,1.000000,36.450000,8.613232,2.388881,74.187771,0.343578,-1.779225,5.102888,22.250000,24.633333,29.916667,34.890000,36.138000
0,Mon,16,16:00,13.000000,19.950000,0.000000,28.900000,7.389748,2.049547,54.608380,0.370413,-1.735294,3.921085,17.050000,22.250000,23.850000,26.930000,28.506000
0,Mon,17,17:00,13.000000,14.088462,0.583333,19.316667,4.945529,1.371643,24.458259,0.351034,-1.708843,4.215886,12.050000,14.166667,17.600000,19.166667,19.286667
0,Mon,18,18:00,13.000000,8.692308,1.000000,14.316667,3.300208,0.915313,10.891371,0.379670,-0.757908,1.573360,6.666667,8.600000,10.600000,12.536667,13.960667
0,Mon,19,19:00,13.000000,5.746154,0.000000,8.833333,2.379933,0.660075,5.664081,0.414178,-0.971961,1.664228,4.900000,5.766667,7.966667,8.473333,8.761333
0,Mon,20,20:00,13.000000,2.664103,0.000000,4.916667,1.519302,0.421379,2.308280,0.570287,0.084819,-0.758189,1.666667,2.633333,3.666667,4.916667,4.916667
0,Mon,21,21:00,13.000000,1.688462,0.000000,3.466667,1.078716,0.299182,1.163629,0.638875,-0.146670,-0.755250,0.833333,1.983333,2.183333,3.236667,3.420667
0,Mon,22,22:00,13.000000,0.826923,0.000000,1.983333,0.718845,0.199372,0.516738,0.869301,0.240551,-1.426634,0.083333,0.900000,1.400000,1.843333,1.955333
0,Mon,23,23:00,13.000000,0.752564,0.000000,2.083333,0.813709,0.225682,0.662123,1.081249,0.603357,-1.218159,0.000000,0.416667,1.133333,2.063333,2.079333
1,Tue,0,00:00,13.000000,0.371795,0.000000,1.416667,0.449865,0.124770,0.202379,1.209983,1.137343,0.833887,0.000000,0.250000,0.583333,1.116667,1.356667
1,Tue,1,01:00,13.000000,0.146154,0.000000,0.750000,0.257584,0.071441,0.066350,1.762419,1.583127,1.261301,0.000000,0.000000,0.166667,0.600000,0.720000
1,Tue,2,02:00,13.000000,0.051282,0.000000,0.666667,0.184900,0.051282,0.034188,3.605551,3.605551,13.000000,0.000000,0.000000,0.000000,0.266667,0.586667
1,Tue,3,03:00,13.000000,0.066667,0.000000,0.733333,0.203670,0.056488,0.041481,3.055050,3.419396,11.919643,0.000000,0.000000,0.000000,0.373333,0.661333
1,Tue,4,04:00,13.000000,0.108974,0.000000,0.583333,0.221486,0.061429,0.049056,2.032464,1.843113,1.978044,0.000000,0.000000,0.000000,0.583333,0.583333
1,Tue,5,05:00,13.000000,0.288462,0.000000,1.300000,0.435910,0.120900,0.190018,1.511156,1.369706,0.950124,0.000000,0.000000,0.583333,1.070000,1.254000
1,Tue,6,06:00,13.000000,2.138462,1.366667,4.316667,0.883239,0.244966,0.780110,0.413025,1.573742,2.090104,1.566667,1.900000,2.350000,3.786667,4.210667
1,Tue,7,07:00,13.000000,18.802564,12.666667,22.933333,3.191713,0.885222,10.187030,0.169749,-0.404540,-0.748700,17.000000,18.816667,21.750000,22.683333,22.883333
1,Tue,8,08:00,13.000000,27.814103,20.333333,32.750000,3.859307,1.070379,14.894252,0.138754,-0.852582,-0.369043,26.616667,28.883333,30.183333,31.890000,32.578000
1,Tue,9,09:00,13.000000,21.230769,10.816667,26.083333,3.971297,1.101439,15.771197,0.187054,-1.532020,3.354618,20.733333,21.700000,22.716667,25.903333,26.047333
1,Tue,10,10:00,13.000000,31.838462,22.733333,36.650000,3.960093,1.098332,15.682333,0.124381,-1.204643,1.440564,30.816667,32.850000,33.333333,36.530000,36.626000
1,Tue,11,11:00,13.000000,38.042308,27.350000,42.566667,4.883896,1.354549,23.852436,0.128381,-1.344897,0.947771,36.783333,40.416667,41.366667,42.476667,42.548667
1,Tue,12,12:00,13.000000,39.047436,25.400000,45.750000,5.446979,1.510720,29.669576,0.139496,-1.445115,2.336824,38.116667,40.500000,41.500000,44.810000,45.562000
