category,datetime,category,datetime,arrivals,departures,occupancy,day_of_week,bin_of_day,bin_of_week
ART,1996-01-02 00:00:00,ART,1996-01-02 00:00:00,0.0,0.0,0.0,1,0,24
ART,1996-01-02 01:00:00,ART,1996-01-02 01:00:00,0.0,0.0,0.0,1,1,25
ART,1996-01-02 02:00:00,ART,1996-01-02 02:00:00,0.0,0.0,0.0,1,2,26
ART,1996-01-02 03:00:00,ART,1996-01-02 03:00:00,0.0,0.0,0.0,1,3,27
ART,1996-01-02 04:00:00,ART,1996-01-02 04:00:00,0.0,0.0,0.0,1,4,28
ART,1996-01-02 05:00:00,ART,1996-01-02 05:00:00,0.0,0.0,0.0,1,5,29
ART,1996-01-02 06:00:00,ART,1996-01-02 06:00:00,2.0,0.0,0.5,1,6,30
ART,1996-01-02 07:00:00,ART,1996-01-02 07:00:00,7.0,0.0,5.400000000000001,1,7,31
ART,1996-01-02 08:00:00,ART,1996-01-02 08:00:00,4.0,7.0,8.716666666666667,1,8,32
ART,1996-01-02 09:00:00,ART,1996-01-02 09:00:00,5.0,4.0,5.933333333333334,1,9,33
ART,1996-01-02 10:00:00,ART,1996-01-02 10:00:00,2.0,4.0,4.833333333333333,1,10,34
ART,1996-01-02 11:00:00,ART,1996-01-02 11:00:00,5.0,3.0,4.516666666666667,1,11,35
ART,1996-01-02 12:00:00,ART,1996-01-02 12:00:00,1.0,6.0,4.016666666666667,1,12,36
ART,1996-01-02 13:00:00,ART,1996-01-02 13:00:00,3.0,2.0,2.9000000000000004,1,13,37
ART,1996-01-02 14:00:00,ART,1996-01-02 14:00:00,0.0,1.0,2.5166666666666666,1,14,38
ART,1996-01-02 15:00:00,ART,1996-01-02 15:00:00,1.0,2.0,1.4833333333333334,1,15,39
ART,1996-01-02 16:00:00,ART,1996-01-02 16:00:00,0.0,1.0,0.0,1,16,40
ART,1996-01-02 17:00:00,ART,1996-01-02 17:00:00,0.0,0.0,0.0,1,17,41
ART,1996-01-02 18:00:00,ART,1996-01-02 18:00:00,0.0,0.0,0.0,1,18,42
ART,1996-01-02 19:00:00,ART,1996-01-02 19:00:00,0.0,0.0,0.0,1,19,43
ART,1996-01-02 20:00:00,ART,1996-01-02 20:00:00,0.0,0.0,0.0,1,20,44
ART,1996-01-02 21:00:00,ART,1996-01-02 21:00:00,0.0,0.0,0.0,1,21,45
ART,1996-01-02 22:00:00,ART,1996-01-02 22:00:00,0.0,0.0,0.0,1,22,46
ART,1996-01-02 23:00:00,ART,1996-01-02 23:00:00,0.0,0.0,0.0,1,23,47
ART,1996-01-03 00:00:00,ART,1996-01-03 00:00:00,0.0,0.0,0.0,2,0,48
ART,1996-01-03 01:00:00,ART,1996-01-03 01:00:00,0.0,0.0,0.0,2,1,49
ART,1996-01-03 02:00:00,ART,1996-01-03 02:00:00,0.0,0.0,0.0,2,2,50
ART,1996-01-03 03:00:00,ART,1996-01-03 03:00:00,0.0,0.0,0.0,2,3,51
ART,1996-01-03 04:00:00,ART,1996-01-03 04:00:00,0.0,0.0,0.0,2,4,52
ART,1996-01-03 05:00:00,ART,1996-01-03 05:00:00,0.0,0.0,0.0,2,5,53
ART,1996-01-03 06:00:00,ART,1996-01-03 06:00:00,6.0,0.0,3.35,2,6,54
ART,1996-01-03 07:00:00,ART,1996-01-03 07:00:00,3.0,6.0,5.8,2,7,55
ART,1996-01-03 08:00:00,ART,1996-01-03 08:00:00,2.0,2.0,3.5,2,8,56
ART,1996-01-03 09:00:00,ART,1996-01-03 09:00:00,5.0,2.0,5.066666666666666,2,9,57
ART,1996-01-03 10:00:00,ART,1996-01-03 10:00:00,2.0,4.0,4.233333333333333,2,10,58
ART,1996-01-03 11:00:00,ART,1996-01-03 11:00:00,4.0,3.0,3.9833333333333334,2,11,59
ART,1996-01-03 12:00:00,ART,1996-01-03 12:00:00,1.0,2.0,4.85,2,12,60
ART,1996-01-03 13:00:00,ART,1996-01-03 13:00:00,2.0,4.0,3.0833333333333335,2,13,61
ART,1996-01-03 14:00:00,ART,1996-01-03 14:00:00,0.0,1.0,1.6666666666666665,2,14,62
ART,1996-01-03 15:00:00,ART,1996-01-03 15:00:00,0.0,1.0,0.5833333333333334,2,15,63
ART,1996-01-03 16:00:00,ART,1996-01-03 16:00:00,0.0,0.0,0.0,2,16,64
ART,1996-01-03 17:00:00,ART,1996-01-03 17:00:00,0.0,0.0,0.0,2,17,65
ART,1996-01-03 18:00:00,ART,1996-01-03 18:00:00,0.0,0.0,0.0,2,18,66
ART,1996-01-03 19:00:00,ART,1996-01-03 19:00:00,0.0,0.0,0.0,2,19,67
ART,1996-01-03 20:00:00,ART,1996-01-03 20:00:00,0.0,0.0,0.0,2,20,68
ART,1996-01-03 21:00:00,ART,1996-01-03 21:00:00,0.0,0.0,0.0,2,21,69
ART,1996-01-03 22:00:00,ART,1996-01-03 22:00:00,0.0,0.0,0.0,2,22,70
ART,1996-01-03 23:00:00,ART,1996-01-03 23:00:00,0.0,0.0,0.0,2,23,71
ART,1996-01-04 00:00:00,ART,1996-01-04 00:00:00,0.0,0.0,0.0,3,0,72
ART,1996-01-04 01:00:00,ART,1996-01-04 01:00:00,0.0,0.0,0.0,3,1,73
ART,1996-01-04 02:00:00,ART,1996-01-04 02:00:00,0.0,0.0,0.0,3,2,74
ART,1996-01-04 03:00:00,ART,1996-01-04 03:00:00,0.0,0.0,0.0,3,3,75
ART,1996-01-04 04:00:00,ART,1996-01-04 04:00:00,0.0,0.0,0.0,3,4,76
