PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35065,0,0,0,Weekday,2,0,35065,-1,0,0,0
ART,35065.04167,0,0,0,Weekday,2,0.041666667,35065,-1,0,0,0
ART,35065.08333,0,0,0,Weekday,2,0.083333333,35065,-1,0,0,0
ART,35065.125,0,0,0,Weekday,2,0.125,35065,-1,0,0,0
ART,35065.16667,0,0,0,Weekday,2,0.166666667,35065,-1,0,0,0
ART,35065.20833,0,0,0,Weekday,2,0.208333333,35065,-1,0,0,0
ART,35065.25,0,0,0,Weekday,2,0.25,35065,-1,0,0,0
ART,35065.29167,0,0,0,Weekday,2,0.291666667,35065,-1,0,0,0
ART,35065.33333,0,0,0,Weekday,2,0.333333333,35065,-1,0,0,0
ART,35065.375,0,0,0,Weekday,2,0.375,35065,-1,0,0,0
ART,35065.41667,0,0,0,Weekday,2,0.416666667,35065,-1,0,0,0
ART,35065.45833,0,0,0,Weekday,2,0.458333333,35065,-1,0,0,0
ART,35065.5,0,0,0,Weekday,2,0.5,35065,-1,0,0,0
ART,35065.54167,0,0,0,Weekday,2,0.541666667,35065,-1,0,0,0
ART,35065.58333,0,0,0,Weekday,2,0.583333333,35065,-1,0,0,0
ART,35065.625,0,0,0,Weekday,2,0.625,35065,-1,0,0,0
ART,35065.66667,0,0,0,Weekday,2,0.666666667,35065,-1,0,0,0
ART,35065.70833,0,0,0,Weekday,2,0.708333333,35065,-1,0,0,0
ART,35065.75,0,0,0,Weekday,2,0.75,35065,-1,0,0,0
ART,35065.79167,0,0,0,Weekday,2,0.791666667,35065,-1,0,0,0
ART,35065.83333,0,0,0,Weekday,2,0.833333333,35065,-1,0,0,0
ART,35065.875,0,0,0,Weekday,2,0.875,35065,-1,0,0,0
ART,35065.91667,0,0,0,Weekday,2,0.916666667,35065,-1,0,0,0
ART,35065.95833,0,0,0,Weekday,2,0.958333333,35065,-1,0,0,0
ART,35066,0,0,0,Weekday,3,0,35066,-1,0,0,0
ART,35066.04167,0,0,0,Weekday,3,0.041666667,35066,-1,0,0,0
ART,35066.08333,0,0,0,Weekday,3,0.083333333,35066,-1,0,0,0
ART,35066.125,0,0,0,Weekday,3,0.125,35066,-1,0,0,0
ART,35066.16667,0,0,0,Weekday,3,0.166666667,35066,-1,0,0,0
ART,35066.20833,0,0,0,Weekday,3,0.208333333,35066,-1,0,0,0
ART,35066.25,2,0,0.5,Weekday,3,0.25,35066,-1,0,0,0
ART,35066.29167,6,0,4.4,Weekday,3,0.291666667,35066,-1,1,0,1
ART,35066.33333,5,6,9.716666667,Weekday,3,0.333333333,35066,-1,-1,1,-1
ART,35066.375,5,4,6.933333333,Weekday,3,0.375,35066,-1,0,0,-1
ART,35066.41667,2,5,4.833333333,Weekday,3,0.416666667,35066,-1,0,-1,0
ART,35066.45833,5,2,5.516666667,Weekday,3,0.458333333,35066,-1,0,1,-1
ART,35066.5,1,6,5.016666667,Weekday,3,0.5,35066,-1,0,0,-1
ART,35066.54167,3,3,2.9,Weekday,3,0.541666667,35066,-1,0,-1,-1.02141E-14
ART,35066.58333,0,1,2.516666667,Weekday,3,0.583333333,35066,-1,0,0,-1.02141E-14
ART,35066.625,1,2,1.483333333,Weekday,3,0.625,35066,-1,0,0,0
ART,35066.66667,0,0,1,Weekday,3,0.666666667,35066,-1,0,1,-1
ART,35066.70833,0,1,0,Weekday,3,0.708333333,35066,-1,0,-1,0
ART,35066.75,0,0,0,Weekday,3,0.75,35066,-1,0,0,0
ART,35066.79167,0,0,0,Weekday,3,0.791666667,35066,-1,0,0,0
ART,35066.83333,0,0,0,Weekday,3,0.833333333,35066,-1,0,0,0
ART,35066.875,0,0,0,Weekday,3,0.875,35066,-1,0,0,0
ART,35066.91667,0,0,0,Weekday,3,0.916666667,35066,-1,0,0,0
ART,35066.95833,0,0,0,Weekday,3,0.958333333,35066,-1,0,0,0
ART,35067,0,0,0,Weekday,4,0,35067,-1,0,0,0
ART,35067.04167,0,0,0,Weekday,4,0.041666667,35067,-1,0,0,0
ART,35067.08333,0,0,0,Weekday,4,0.083333333,35067,-1,0,0,0
ART,35067.125,0,0,0,Weekday,4,0.125,35067,-1,0,0,0
ART,35067.16667,0,0,0,Weekday,4,0.166666667,35067,-1,0,0,0
ART,35067.20833,0,0,0,Weekday,4,0.208333333,35067,-1,0,0,0
ART,35067.25,6,0,3.35,Weekday,4,0.25,35067,-1,0,0,0
ART,35067.29167,3,4,7.8,Weekday,4,0.291666667,35067,-1,0,2,-2
ART,35067.33333,1,4,2.5,Weekday,4,0.333333333,35067,-1,1,-2,1
ART,35067.375,6,2,5.066666667,Weekday,4,0.375,35067,-1,-1,0,-9.76996E-15
ART,35067.41667,2,4,4.233333333,Weekday,4,0.416666667,35067,-1,0,0,9.76996E-15
ART,35067.45833,4,3,3.983333333,Weekday,4,0.458333333,35067,-1,0,0,-1.02141E-14
ART,35067.5,1,2,4.85,Weekday,4,0.5,35067,-1,0,0,0
ART,35067.54167,2,4,3.083333333,Weekday,4,0.541666667,35067,-1,0,0,-1.02141E-14
ART,35067.58333,0,1,1.666666667,Weekday,4,0.583333333,35067,-1,0,0,0
ART,35067.625,0,1,0.583333333,Weekday,4,0.625,35067,-1,0,0,-2.9976E-15
ART,35067.66667,0,0,0,Weekday,4,0.666666667,35067,-1,0,0,0
ART,35067.70833,0,0,0,Weekday,4,0.708333333,35067,-1,0,0,0
ART,35067.75,0,0,0,Weekday,4,0.75,35067,-1,0,0,0
ART,35067.79167,0,0,0,Weekday,4,0.791666667,35067,-1,0,0,0
ART,35067.83333,0,0,0,Weekday,4,0.833333333,35067,-1,0,0,0
ART,35067.875,0,0,0,Weekday,4,0.875,35067,-1,0,0,0
ART,35067.91667,0,0,0,Weekday,4,0.916666667,35067,-1,0,0,0
ART,35067.95833,0,0,0,Weekday,4,0.958333333,35067,-1,0,0,0
ART,35068,0,0,0,Weekday,5,0,35068,-1,0,0,0
ART,35068.04167,0,0,0,Weekday,5,0.041666667,35068,-1,0,0,0
ART,35068.08333,0,0,0,Weekday,5,0.083333333,35068,-1,0,0,0
ART,35068.125,0,0,0,Weekday,5,0.125,35068,-1,0,0,0
